Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Temp_diff,Rot_speed_rad/s,Power,Tool_Torque,Machine failure,UDI
298.1,308.6,1551,42.8,0,2,10.5,162.4203401905923,6951.5905601573495,0.0,0,1
298.2,308.7,1408,46.3,3,1,10.5,147.44541520848094,6826.722724152667,138.89999999999998,0,2
298.1,308.5,1498,49.4,5,1,10.399999999999977,156.87019316925034,7749.387542560967,247.0,0,3
298.2,308.6,1433,39.5,7,1,10.400000000000034,150.06340908647243,5927.504658915661,276.5,0,4
298.2,308.7,1408,40.0,9,1,10.5,147.44541520848094,5897.816608339237,360.0,0,5
298.1,308.6,1425,41.9,11,2,10.5,149.22565104551518,6252.554778807085,460.9,0,6
298.1,308.6,1558,42.4,14,1,10.5,163.1533784764299,6917.703247400628,593.6,0,7
298.1,308.6,1527,40.2,16,1,10.5,159.90706606772045,6428.264055922363,643.2,0,8
298.3,308.7,1667,28.6,18,2,10.399999999999977,174.56783178447282,4992.639989035923,514.8000000000001,0,9
298.5,309.0,1741,28.0,21,2,10.5,182.31709366332765,5104.878622573175,588.0,0,10
298.4,308.9,1782,23.9,24,0,10.5,186.61060362323371,4459.993426595285,573.5999999999999,0,11
298.6,309.1,1423,44.3,29,0,10.5,149.01621153527586,6601.41817101272,1284.6999999999998,0,12
298.6,309.1,1339,51.1,34,2,10.5,140.21975210522442,7165.229332576968,1737.4,0,13
298.6,309.2,1742,30.0,37,2,10.599999999999966,182.4218134184473,5472.654402553419,1110.0,0,14
298.6,309.2,2035,19.6,40,1,10.599999999999966,213.10470166850763,4176.85215270275,784.0,0,15
298.6,309.2,1542,48.4,42,1,10.599999999999966,161.47786239451537,7815.528539894543,2032.8,0,16
298.6,309.2,1311,46.6,44,2,10.599999999999966,137.28759896187395,6397.602111623327,2050.4,0,17
298.7,309.2,1410,45.6,47,2,10.5,147.65485471872026,6733.061375173644,2143.2000000000003,0,18
298.8,309.2,1306,54.5,50,0,10.399999999999977,136.76400018627567,7453.6380101520235,2725.0,0,19
298.9,309.3,1632,32.5,55,2,10.400000000000034,170.90264035528475,5554.3358115467545,1787.5,0,20
298.9,309.3,1375,42.7,58,0,10.400000000000034,143.9896632895322,6148.358622463025,2476.6000000000004,0,21
298.8,309.3,1450,44.8,63,1,10.5,151.84364492350667,6802.595292573099,2822.3999999999996,0,22
298.9,309.3,1581,30.7,65,2,10.400000000000034,165.56193284418208,5082.75133831639,1995.5,0,23
299.0,309.4,1758,25.7,68,1,10.399999999999977,184.09732950036187,4731.3013681593,1747.6,0,24
299.0,309.4,1561,37.3,70,2,10.399999999999977,163.4675377417889,6097.339157768725,2611.0,0,25
299.0,309.5,1861,23.3,73,1,10.5,194.8834642776868,4540.7847176701025,1700.9,0,26
299.1,309.5,1512,39.0,75,1,10.399999999999977,158.33626974092556,6175.114519896097,2925.0,0,27
299.1,309.4,1811,24.6,77,0,10.299999999999955,189.64747652170382,4665.327922433914,1894.2,0,28
299.1,309.4,1439,44.2,82,1,10.299999999999955,150.6917276171904,6660.574360679816,3624.4,0,29
299.0,309.4,1693,30.1,84,1,10.399999999999977,177.29054541758398,5336.445417069278,2528.4,0,30
299.1,309.5,1339,48.2,86,2,10.399999999999977,140.21975210522442,6758.592051471817,4145.2,0,31
299.0,309.4,1798,25.5,89,1,10.399999999999977,188.28611970514825,4801.296052481281,2269.5,0,32
299.0,309.4,1419,48.3,91,1,10.399999999999977,148.59733251479722,7177.251160464705,4395.3,0,33
298.9,309.3,1665,32.5,93,1,10.400000000000034,174.35839227423352,5666.647748912589,3022.5,0,34
298.8,309.1,1559,34.7,95,2,10.300000000000011,163.25809823154958,5665.056008634771,3296.5000000000005,0,35
298.8,309.2,1452,48.6,98,2,10.399999999999977,152.053084433746,7389.7799034800555,4762.8,0,36
298.9,309.2,1581,36.7,101,2,10.300000000000011,165.56193284418208,6076.122935381482,3706.7000000000003,0,37
298.8,309.1,1439,39.2,104,1,10.300000000000011,150.6917276171904,5907.115722593864,4076.8,0,38
298.9,309.2,1379,50.7,106,0,10.300000000000011,144.40854231001083,7321.51309511755,5374.200000000001,0,39
298.8,309.1,1350,52.5,111,1,10.300000000000011,141.3716694115407,7422.0126441058865,5827.5,0,40
298.8,309.1,1362,45.4,113,1,10.300000000000011,142.6283064729766,6475.325113873137,5130.2,0,41
298.8,309.1,1368,50.8,115,1,10.300000000000011,143.25662500369455,7277.436550187683,5842.0,0,42
298.8,309.1,1368,49.1,117,2,10.300000000000011,143.25662500369455,7033.900287681403,5744.7,0,43
298.8,309.2,1372,48.5,120,0,10.399999999999977,143.6755040241732,6968.2619451723995,5820.0,0,44
298.8,309.1,1472,47.5,125,2,10.300000000000011,154.14747953613917,7322.00527796661,5937.5,0,45
298.8,309.1,1489,49.1,128,1,10.300000000000011,155.92771537317338,7656.050824822813,6284.8,0,46
298.7,309.0,1843,25.8,130,2,10.300000000000011,192.99850868553295,4979.36152408675,3354.0,0,47
